epoch,average_training_loss,validation_loss,train_eval_loss
1.0,2.332503149606299,2.069763660430908,1.958105444908142
2.0,2.1034820312500004,1.9926196336746216,1.8570411205291748
3.0,2.024850393700788,1.9475297927856445,1.7918555736541748
4.0,1.9751554687500001,1.9149173498153687,1.747023344039917
5.0,1.93801796875,1.8963106870651245,1.7168855667114258
6.0,1.909627559055118,1.867772102355957,1.6794581413269043
7.0,1.8880734375000001,1.8605657815933228,1.6574029922485352
8.0,1.8668507812500001,1.8454644680023193,1.6358996629714966
9.0,1.847848031496063,1.8444123268127441,1.624441385269165
10.0,1.8362281249999999,1.8385710716247559,1.6072973012924194
11.0,1.82052734375,1.8222368955612183,1.5881558656692505
12.0,1.808088188976378,1.8253122568130493,1.5812053680419922
13.0,1.7988046875,1.8162627220153809,1.5667507648468018
14.0,1.7875492187500002,1.8160549402236938,1.5511199235916138
15.0,1.7781102362204722,1.8172777891159058,1.5490705966949463
16.0,1.7698796875,1.8108323812484741,1.5401787757873535
17.0,1.76305703125,1.808953046798706,1.532071590423584
18.0,1.7528692913385828,1.7998498678207397,1.5191295146942139
19.0,1.7473804687499999,1.802006721496582,1.510530948638916
20.0,1.7402781250000001,1.7973260879516602,1.506354808807373
21.0,1.733007874015748,1.7855231761932373,1.4940764904022217
22.0,1.7299109375000001,1.7968285083770752,1.4927592277526855
23.0,1.7248359375,1.7894879579544067,1.4846644401550293
24.0,1.7172897637795277,1.7918704748153687,1.4813449382781982
25.0,1.7137828125,1.7813771963119507,1.4745304584503174
26.0,1.70769140625,1.7825853824615479,1.4707365036010742
27.0,1.7037275590551184,1.7753347158432007,1.4618293046951294
28.0,1.6984703125,1.7834792137145996,1.4587836265563965
29.0,1.69450859375,1.7793686389923096,1.4529783725738525
30.0,1.6902960629921264,1.7724727392196655,1.4499377012252808
31.0,1.687653125,1.774036169052124,1.4459750652313232
32.0,1.6862484375,1.788726806640625,1.4462006092071533
33.0,1.6798338582677168,1.7799842357635498,1.4376399517059326
34.0,1.677571875,1.7733030319213867,1.431936264038086
35.0,1.67414375,1.7714035511016846,1.426301121711731
36.0,1.6694992125984252,1.7714807987213135,1.4236493110656738
37.0,1.667003125,1.7734094858169556,1.4220659732818604
38.0,1.6653078125,1.7696501016616821,1.4163661003112793
39.0,1.6624937007874017,1.7696762084960938,1.4183845520019531
40.0,1.65905078125,1.7749130725860596,1.413476824760437
41.0,1.6554437499999999,1.7687784433364868,1.4104913473129272
42.0,1.6540251968503938,1.7680089473724365,1.4062360525131226
43.0,1.651121875,1.7693592309951782,1.4062947034835815
44.0,1.64945234375,1.769373893737793,1.4043323993682861
45.0,1.6462960629921257,1.7679189443588257,1.401229977607727
46.0,1.64610390625,1.767255187034607,1.3995524644851685
47.0,1.6424375,1.7659120559692383,1.3962019681930542
48.0,1.6419188976377956,1.770843505859375,1.3960604667663574
49.0,1.6383187499999998,1.7703014612197876,1.3950777053833008
50.0,1.6378914062499998,1.7629776000976562,1.3895829916000366
51.0,1.6362047244094489,1.7694002389907837,1.3937898874282837
52.0,1.6345117187499998,1.765203595161438,1.3884849548339844
53.0,1.6307543307086618,1.7631412744522095,1.3847187757492065
54.0,1.6303687500000001,1.7671040296554565,1.3874825239181519
55.0,1.62933359375,1.7658681869506836,1.3855067491531372
56.0,1.6288007874015746,1.7654807567596436,1.3827061653137207
57.0,1.6263125,1.766634225845337,1.3834229707717896
58.0,1.6269773437500001,1.7673208713531494,1.3827592134475708
59.0,1.6242755905511812,1.7667306661605835,1.3830474615097046
60.0,1.62309453125,1.7668253183364868,1.3826947212219238
